date,mine_id,blast_count,delay_h,delay_reason
2023-01-01,DEMO-01,2,0.0,none
2023-01-02,DEMO-01,3,0.0,none
2023-01-03,DEMO-01,2,0.0,none
2023-01-04,DEMO-01,2,0.73,ground_conditions
2023-01-05,DEMO-01,1,0.0,none
2023-01-06,DEMO-01,1,0.0,none
2023-01-07,DEMO-01,2,0.0,none
2023-01-08,DEMO-01,2,0.0,none
2023-01-09,DEMO-01,1,0.0,none
2023-01-10,DEMO-01,0,0.0,none
2023-01-11,DEMO-01,2,0.0,none
2023-01-12,DEMO-01,1,0.0,none
2023-01-13,DEMO-01,2,0.0,none
2023-01-14,DEMO-01,3,0.0,none
2023-01-15,DEMO-01,2,1.39,ground_conditions
2023-01-16,DEMO-01,0,0.0,none
2023-01-17,DEMO-01,1,0.0,none
2023-01-18,DEMO-01,1,0.0,none
2023-01-19,DEMO-01,1,0.0,none
2023-01-20,DEMO-01,4,0.0,none
2023-01-21,DEMO-01,0,0.0,none
2023-01-22,DEMO-01,2,0.0,none
2023-01-23,DEMO-01,2,0.0,none
2023-01-24,DEMO-01,4,0.0,none
2023-01-25,DEMO-01,1,0.0,none
2023-01-26,DEMO-01,4,0.0,none
2023-01-27,DEMO-01,2,0.0,none
2023-01-28,DEMO-01,1,0.0,none
2023-01-29,DEMO-01,3,0.0,none
2023-01-30,DEMO-01,0,2.59,misfire
2023-01-31,DEMO-01,3,0.0,none
2023-02-01,DEMO-01,2,0.0,none
2023-02-02,DEMO-01,2,0.0,none
2023-02-03,DEMO-01,1,0.0,none
2023-02-04,DEMO-01,5,0.0,none
2023-02-05,DEMO-01,2,0.0,none
2023-02-06,DEMO-01,0,0.0,none
2023-02-07,DEMO-01,3,0.0,none
2023-02-08,DEMO-01,3,0.0,none
2023-02-09,DEMO-01,0,0.0,none
2023-02-10,DEMO-01,3,0.0,none
2023-02-11,DEMO-01,3,0.0,none
2023-02-12,DEMO-01,2,0.0,none
2023-02-13,DEMO-01,1,0.0,none
2023-02-14,DEMO-01,0,0.3,equipment
2023-02-15,DEMO-01,2,0.0,none
2023-02-16,DEMO-01,4,0.0,none
2023-02-17,DEMO-01,5,0.0,none
2023-02-18,DEMO-01,3,0.0,none
2023-02-19,DEMO-01,0,0.0,none
2023-02-20,DEMO-01,6,0.0,none
2023-02-21,DEMO-01,1,0.0,none
2023-02-22,DEMO-01,1,0.0,none
2023-02-23,DEMO-01,0,0.0,none
2023-02-24,DEMO-01,0,0.0,none
2023-02-25,DEMO-01,0,0.0,none
2023-02-26,DEMO-01,3,0.0,none
2023-02-27,DEMO-01,4,0.0,none
