block_id,mine_id,x,y,z,volume_m3,density
BLK-0001,DEMO-01,25.0,20.0,103.0,32068.4,2.924
BLK-0002,DEMO-01,25.0,20.0,117.89,32068.4,2.928
BLK-0003,DEMO-01,25.0,20.0,132.78,32068.4,2.906
BLK-0004,DEMO-01,25.0,20.0,147.67,32068.4,2.916
BLK-0005,DEMO-01,25.0,20.0,162.56,32068.4,2.919
BLK-0006,DEMO-01,25.0,20.0,177.44,32068.4,2.937
BLK-0007,DEMO-01,25.0,20.0,192.33,32068.4,2.898
BLK-0008,DEMO-01,25.0,20.0,207.22,32068.4,2.904
BLK-0009,DEMO-01,25.0,20.0,222.11,32068.4,2.953
BLK-0010,DEMO-01,25.0,20.0,237.0,32068.4,2.913
BLK-0011,DEMO-01,25.0,63.08,103.0,32068.4,2.891
BLK-0012,DEMO-01,25.0,63.08,117.89,32068.4,2.909
BLK-0013,DEMO-01,25.0,63.08,132.78,32068.4,2.88
BLK-0014,DEMO-01,25.0,63.08,147.67,32068.4,2.919
BLK-0015,DEMO-01,25.0,63.08,162.56,32068.4,2.928
BLK-0016,DEMO-01,25.0,63.08,177.44,32068.4,2.912
BLK-0017,DEMO-01,25.0,63.08,192.33,32068.4,2.916
BLK-0018,DEMO-01,25.0,63.08,207.22,32068.4,2.929
BLK-0019,DEMO-01,25.0,63.08,222.11,32068.4,2.893
BLK-0020,DEMO-01,25.0,63.08,237.0,32068.4,2.899
BLK-0021,DEMO-01,25.0,106.15,103.0,32068.4,2.913
BLK-0022,DEMO-01,25.0,106.15,117.89,32068.4,2.906
BLK-0023,DEMO-01,25.0,106.15,132.78,32068.4,2.912
BLK-0024,DEMO-01,25.0,106.15,147.67,32068.4,2.901
BLK-0025,DEMO-01,25.0,106.15,162.56,32068.4,2.941
BLK-0026,DEMO-01,25.0,106.15,177.44,32068.4,2.952
BLK-0027,DEMO-01,25.0,106.15,192.33,32068.4,2.93
BLK-0028,DEMO-01,25.0,106.15,207.22,32068.4,2.919
BLK-0029,DEMO-01,25.0,106.15,222.11,32068.4,2.919
BLK-0030,DEMO-01,25.0,106.15,237.0,32068.4,2.897
BLK-0031,DEMO-01,25.0,149.23,103.0,32068.4,2.923
BLK-0032,DEMO-01,25.0,149.23,117.89,32068.4,2.912
BLK-0033,DEMO-01,25.0,149.23,132.78,32068.4,2.914
BLK-0034,DEMO-01,25.0,149.23,147.67,32068.4,2.943
BLK-0035,DEMO-01,25.0,149.23,162.56,32068.4,3.014
BLK-0036,DEMO-01,25.0,149.23,177.44,32068.4,3.024
BLK-0037,DEMO-01,25.0,149.23,192.33,32068.4,2.943
BLK-0038,DEMO-01,25.0,149.23,207.22,32068.4,2.926
BLK-0039,DEMO-01,25.0,149.23,222.11,32068.4,2.903
BLK-0040,DEMO-01,25.0,149.23,237.0,32068.4,2.887
BLK-0041,DEMO-01,25.0,192.31,103.0,32068.4,2.93
BLK-0042,DEMO-01,25.0,192.31,117.89,32068.4,2.918
BLK-0043,DEMO-01,25.0,192.31,132.78,32068.4,2.906
BLK-0044,DEMO-01,25.0,192.31,147.67,32068.4,2.945
BLK-0045,DEMO-01,25.0,192.31,162.56,32068.4,3.095
BLK-0046,DEMO-01,25.0,192.31,177.44,32068.4,3.196
BLK-0047,DEMO-01,25.0,192.31,192.33,32068.4,2.968
BLK-0048,DEMO-01,25.0,192.31,207.22,32068.4,2.902
BLK-0049,DEMO-01,25.0,192.31,222.11,32068.4,2.915
BLK-0050,DEMO-01,25.0,192.31,237.0,32068.4,2.931
BLK-0051,DEMO-01,25.0,235.38,103.0,32068.4,2.919
BLK-0052,DEMO-01,25.0,235.38,117.89,32068.4,2.933
BLK-0053,DEMO-01,25.0,235.38,132.78,32068.4,2.931
BLK-0054,DEMO-01,25.0,235.38,147.67,32068.4,2.918
BLK-0055,DEMO-01,25.0,235.38,162.56,32068.4,2.963
BLK-0056,DEMO-01,25.0,235.38,177.44,32068.4,3.422
BLK-0057,DEMO-01,25.0,235.38,192.33,32068.4,3.288
BLK-0058,DEMO-01,25.0,235.38,207.22,32068.4,2.922
BLK-0059,DEMO-01,25.0,235.38,222.11,32068.4,2.912
BLK-0060,DEMO-01,25.0,235.38,237.0,32068.4,2.921
BLK-0061,DEMO-01,25.0,278.46,103.0,32068.4,2.936
BLK-0062,DEMO-01,25.0,278.46,117.89,32068.4,2.909
BLK-0063,DEMO-01,25.0,278.46,132.78,32068.4,2.908
BLK-0064,DEMO-01,25.0,278.46,147.67,32068.4,2.916
BLK-0065,DEMO-01,25.0,278.46,162.56,32068.4,2.932
BLK-0066,DEMO-01,25.0,278.46,177.44,32068.4,3.211
BLK-0067,DEMO-01,25.0,278.46,192.33,32068.4,3.758
BLK-0068,DEMO-01,25.0,278.46,207.22,32068.4,3.146
BLK-0069,DEMO-01,25.0,278.46,222.11,32068.4,2.925
BLK-0070,DEMO-01,25.0,278.46,237.0,32068.4,2.922
BLK-0071,DEMO-01,25.0,321.54,103.0,32068.4,2.911
BLK-0072,DEMO-01,25.0,321.54,117.89,32068.4,2.927
BLK-0073,DEMO-01,25.0,321.54,132.78,32068.4,2.918
BLK-0074,DEMO-01,25.0,321.54,147.67,32068.4,2.927
BLK-0075,DEMO-01,25.0,321.54,162.56,32068.4,2.925
BLK-0076,DEMO-01,25.0,321.54,177.44,32068.4,3.151
BLK-0077,DEMO-01,25.0,321.54,192.33,32068.4,3.782
BLK-0078,DEMO-01,25.0,321.54,207.22,32068.4,3.254
BLK-0079,DEMO-01,25.0,321.54,222.11,32068.4,2.947
BLK-0080,DEMO-01,25.0,321.54,237.0,32068.4,2.925
BLK-0081,DEMO-01,25.0,364.62,103.0,32068.4,2.903
BLK-0082,DEMO-01,25.0,364.62,117.89,32068.4,2.919
BLK-0083,DEMO-01,25.0,364.62,132.78,32068.4,2.885
BLK-0084,DEMO-01,25.0,364.62,147.67,32068.4,2.909
BLK-0085,DEMO-01,25.0,364.62,162.56,32068.4,2.962
BLK-0086,DEMO-01,25.0,364.62,177.44,32068.4,3.358
BLK-0087,DEMO-01,25.0,364.62,192.33,32068.4,3.543
BLK-0088,DEMO-01,25.0,364.62,207.22,32068.4,2.968
BLK-0089,DEMO-01,25.0,364.62,222.11,32068.4,2.912
BLK-0090,DEMO-01,25.0,364.62,237.0,32068.4,2.921
BLK-0091,DEMO-01,25.0,407.69,103.0,32068.4,2.922
BLK-0092,DEMO-01,25.0,407.69,117.89,32068.4,2.929
BLK-0093,DEMO-01,25.0,407.69,132.78,32068.4,2.913
BLK-0094,DEMO-01,25.0,407.69,147.67,32068.4,2.92
BLK-0095,DEMO-01,25.0,407.69,162.56,32068.4,3.063
BLK-0096,DEMO-01,25.0,407.69,177.44,32068.4,3.359
BLK-0097,DEMO-01,25.0,407.69,192.33,32068.4,3.026
BLK-0098,DEMO-01,25.0,407.69,207.22,32068.4,2.896
BLK-0099,DEMO-01,25.0,407.69,222.11,32068.4,2.902
BLK-0100,DEMO-01,25.0,407.69,237.0,32068.4,2.936
BLK-0101,DEMO-01,25.0,450.77,103.0,32068.4,2.913
BLK-0102,DEMO-01,25.0,450.77,117.89,32068.4,2.919
BLK-0103,DEMO-01,25.0,450.77,132.78,32068.4,2.91
BLK-0104,DEMO-01,25.0,450.77,147.67,32068.4,2.912
BLK-0105,DEMO-01,25.0,450.77,162.56,32068.4,3.099
BLK-0106,DEMO-01,25.0,450.77,177.44,32068.4,3.039
BLK-0107,DEMO-01,25.0,450.77,192.33,32068.4,2.923
BLK-0108,DEMO-01,25.0,450.77,207.22,32068.4,2.916
BLK-0109,DEMO-01,25.0,450.77,222.11,32068.4,2.919
BLK-0110,DEMO-01,25.0,450.77,237.0,32068.4,2.907
BLK-0111,DEMO-01,25.0,493.85,103.0,32068.4,2.892
BLK-0112,DEMO-01,25.0,493.85,117.89,32068.4,2.906
BLK-0113,DEMO-01,25.0,493.85,132.78,32068.4,2.906
BLK-0114,DEMO-01,25.0,493.85,147.67,32068.4,2.912
BLK-0115,DEMO-01,25.0,493.85,162.56,32068.4,2.987
BLK-0116,DEMO-01,25.0,493.85,177.44,32068.4,2.958
BLK-0117,DEMO-01,25.0,493.85,192.33,32068.4,2.926
BLK-0118,DEMO-01,25.0,493.85,207.22,32068.4,2.918
BLK-0119,DEMO-01,25.0,493.85,222.11,32068.4,2.929
BLK-0120,DEMO-01,25.0,493.85,237.0,32068.4,2.914
BLK-0121,DEMO-01,25.0,536.92,103.0,32068.4,2.927
BLK-0122,DEMO-01,25.0,536.92,117.89,32068.4,2.914
BLK-0123,DEMO-01,25.0,536.92,132.78,32068.4,2.922
BLK-0124,DEMO-01,25.0,536.92,147.67,32068.4,2.897
BLK-0125,DEMO-01,25.0,536.92,162.56,32068.4,2.888
BLK-0126,DEMO-01,25.0,536.92,177.44,32068.4,2.942
BLK-0127,DEMO-01,25.0,536.92,192.33,32068.4,2.929
BLK-0128,DEMO-01,25.0,536.92,207.22,32068.4,2.923
BLK-0129,DEMO-01,25.0,536.92,222.11,32068.4,2.909
BLK-0130,DEMO-01,25.0,536.92,237.0,32068.4,2.936
BLK-0131,DEMO-01,25.0,580.0,103.0,32068.4,2.91
BLK-0132,DEMO-01,25.0,580.0,117.89,32068.4,2.922
BLK-0133,DEMO-01,25.0,580.0,132.78,32068.4,2.924
BLK-0134,DEMO-01,25.0,580.0,147.67,32068.4,2.939
BLK-0135,DEMO-01,25.0,580.0,162.56,32068.4,2.912
BLK-0136,DEMO-01,25.0,580.0,177.44,32068.4,2.91
BLK-0137,DEMO-01,25.0,580.0,192.33,32068.4,2.9
BLK-0138,DEMO-01,25.0,580.0,207.22,32068.4,2.937
BLK-0139,DEMO-01,25.0,580.0,222.11,32068.4,2.922
