hole_id,x,y,collar_z,depth,Mn_pct,Fe_pct,SiO2_pct,density
BH-001,183.08,482.72,239.05,75.36,14.84,13.87,32.33,3.202
BH-002,330.48,521.85,236.13,99.86,3.83,15.08,39.72,2.908
BH-003,668.59,98.54,238.56,68.75,4.03,15.49,39.14,2.919
BH-004,197.79,330.26,243.29,120.91,38.53,9.61,13.83,3.814
BH-005,64.31,80.8,244.59,118.31,4.2,16.08,38.51,2.931
BH-006,233.85,396.45,238.6,83.47,26.17,11.44,23.89,3.49
BH-007,243.13,177.49,239.3,71.27,7.87,15.1,36.85,3.021
BH-008,523.06,389.28,233.03,87.83,20.49,12.82,27.36,3.348
BH-009,443.34,427.12,235.37,112.88,7.13,15.09,37.04,3.001
BH-010,615.76,450.44,233.32,97.21,39.23,9.57,13.39,3.833
BH-011,524.88,80.33,236.49,109.35,4.48,15.71,38.57,2.934
BH-012,328.85,532.97,234.7,87.62,3.81,16.44,38.52,2.924
BH-013,638.66,148.92,231.5,95.63,4.16,15.81,38.35,2.926
BH-014,146.9,40.95,244.62,68.05,3.85,15.99,39.0,2.92
BH-015,37.26,330.72,241.77,103.79,37.6,9.44,14.59,3.786
BH-016,88.44,227.72,242.88,61.19,27.74,11.45,22.0,3.534
BH-017,568.99,484.68,230.63,100.58,26.3,11.48,22.52,3.494
BH-018,371.03,472.62,235.51,113.86,3.93,15.79,38.77,2.92
BH-019,142.57,197.6,240.43,55.57,18.52,13.03,28.62,3.295
BH-020,400.79,553.62,231.94,94.15,3.8,16.12,39.2,2.92
BH-021,135.76,182.91,246.56,52.61,7.36,15.27,36.27,3.009
BH-022,549.2,308.43,232.48,103.06,9.54,14.52,35.25,3.061
BH-023,359.08,163.34,237.93,51.76,3.8,15.68,39.06,2.915
BH-024,309.58,544.18,238.65,119.88,3.82,15.87,39.73,2.917
BH-025,249.15,112.18,246.53,55.99,3.8,16.27,40.81,2.922
BH-026,499.01,45.15,236.72,121.71,4.4,16.11,39.01,2.937
BH-027,294.98,263.65,238.97,109.07,44.36,8.32,10.58,3.962
BH-028,86.61,575.73,240.04,92.49,5.0,15.32,38.63,2.944
BH-029,109.68,519.34,242.39,107.61,11.11,14.61,33.91,3.106
BH-030,751.04,439.22,227.73,108.61,12.86,14.13,32.52,3.15
BH-031,710.52,518.84,228.62,120.68,8.46,15.41,35.76,3.042
BH-032,551.78,520.33,232.99,65.27,9.68,14.9,34.55,3.07
BH-033,222.06,310.56,240.93,92.21,41.14,9.43,11.6,3.885
BH-034,756.57,196.92,231.45,52.6,3.86,15.84,39.53,2.918
BH-035,611.85,452.33,231.36,94.29,39.36,9.54,14.11,3.836
BH-036,564.84,390.53,231.08,58.7,39.37,9.51,14.05,3.836
BH-037,361.51,229.25,238.38,90.2,41.39,9.01,12.48,3.887
BH-038,226.9,72.9,242.64,90.79,6.22,14.97,37.43,2.974
BH-039,93.26,438.2,241.41,82.28,33.97,10.31,17.83,3.695
