date,mine_id,development_m
2023-01-01,DEMO-01,21.95
2023-01-02,DEMO-01,19.26
2023-01-03,DEMO-01,18.11
2023-01-04,DEMO-01,20.19
2023-01-05,DEMO-01,16.91
2023-01-06,DEMO-01,16.11
2023-01-07,DEMO-01,19.67
2023-01-08,DEMO-01,18.91
2023-01-09,DEMO-01,19.88
2023-01-10,DEMO-01,19.38
2023-01-11,DEMO-01,21.16
2023-01-12,DEMO-01,14.32
2023-01-13,DEMO-01,17.36
2023-01-14,DEMO-01,17.48
2023-01-15,DEMO-01,20.1
2023-01-16,DEMO-01,18.63
2023-01-17,DEMO-01,20.1
2023-01-18,DEMO-01,18.51
2023-01-19,DEMO-01,17.92
2023-01-20,DEMO-01,19.23
2023-01-21,DEMO-01,18.47
2023-01-22,DEMO-01,18.7
2023-01-23,DEMO-01,19.17
2023-01-24,DEMO-01,18.78
2023-01-25,DEMO-01,19.67
2023-01-26,DEMO-01,18.09
2023-01-27,DEMO-01,18.26
2023-01-28,DEMO-01,16.1
2023-01-29,DEMO-01,19.72
2023-01-30,DEMO-01,21.08
2023-01-31,DEMO-01,14.76
2023-02-01,DEMO-01,19.11
2023-02-02,DEMO-01,17.74
2023-02-03,DEMO-01,17.67
2023-02-04,DEMO-01,19.13
2023-02-05,DEMO-01,17.95
2023-02-06,DEMO-01,18.71
2023-02-07,DEMO-01,17.31
2023-02-08,DEMO-01,19.3
2023-02-09,DEMO-01,17.58
2023-02-10,DEMO-01,16.63
2023-02-11,DEMO-01,18.62
2023-02-12,DEMO-01,16.5
2023-02-13,DEMO-01,18.42
2023-02-14,DEMO-01,20.92
2023-02-15,DEMO-01,17.67
2023-02-16,DEMO-01,15.56
2023-02-17,DEMO-01,17.25
2023-02-18,DEMO-01,19.46
2023-02-19,DEMO-01,18.19
2023-02-20,DEMO-01,19.26
2023-02-21,DEMO-01,16.86
2023-02-22,DEMO-01,17.25
2023-02-23,DEMO-01,19.09
2023-02-24,DEMO-01,20.9
2023-02-25,DEMO-01,16.95
2023-02-26,DEMO-01,17.96
2023-02-27,DEMO-01,19.97
2023-02-28,DEMO-01,18.23
2023-03-01,DEMO-01,19.14
2023-03-02,DEMO-01,16.66
2023-03-03,DEMO-01,18.0
