date,mine_id,equipment_id,equipment_type,downtime_h,availability,failure,repair_h
2023-01-01,DEMO-01,SH-01,shovel,1.88,0.922,0,0.0
2023-01-02,DEMO-01,SH-01,shovel,2.62,0.891,0,0.0
2023-01-03,DEMO-01,SH-01,shovel,1.12,0.953,0,0.0
2023-01-04,DEMO-01,SH-01,shovel,1.98,0.918,0,0.0
2023-01-05,DEMO-01,SH-01,shovel,3.78,0.842,0,0.0
2023-01-06,DEMO-01,SH-01,shovel,2.05,0.915,0,0.0
2023-01-07,DEMO-01,SH-01,shovel,1.42,0.941,0,0.0
2023-01-08,DEMO-01,SH-01,shovel,2.68,0.888,0,0.0
2023-01-09,DEMO-01,SH-01,shovel,3.74,0.844,0,0.0
2023-01-10,DEMO-01,SH-01,shovel,4.01,0.833,0,0.0
2023-01-11,DEMO-01,SH-01,shovel,1.71,0.929,0,0.0
2023-01-12,DEMO-01,SH-01,shovel,2.26,0.906,0,0.0
2023-01-13,DEMO-01,SH-01,shovel,0.8,0.966,0,0.0
2023-01-14,DEMO-01,SH-01,shovel,2.25,0.906,0,0.0
2023-01-15,DEMO-01,SH-01,shovel,0.85,0.965,0,0.0
2023-01-16,DEMO-01,SH-01,shovel,0.2,0.992,0,0.0
2023-01-17,DEMO-01,SH-01,shovel,1.78,0.926,0,0.0
2023-01-18,DEMO-01,SH-01,shovel,1.86,0.923,0,0.0
2023-01-19,DEMO-01,SH-01,shovel,4.84,0.798,1,3.75
2023-01-20,DEMO-01,SH-01,shovel,1.76,0.927,0,0.0
2023-01-21,DEMO-01,SH-01,shovel,0.52,0.978,0,0.0
2023-01-22,DEMO-01,SH-01,shovel,1.86,0.923,0,0.0
2023-01-23,DEMO-01,SH-01,shovel,2.88,0.88,0,0.0
2023-01-24,DEMO-01,SH-01,shovel,0.24,0.99,0,0.0
2023-01-25,DEMO-01,SH-01,shovel,1.4,0.942,0,0.0
2023-01-26,DEMO-01,SH-01,shovel,0.82,0.966,0,0.0
2023-01-27,DEMO-01,SH-01,shovel,1.2,0.95,0,0.0
2023-01-28,DEMO-01,SH-01,shovel,1.17,0.951,0,0.0
2023-01-29,DEMO-01,SH-01,shovel,1.68,0.93,0,0.0
2023-01-30,DEMO-01,SH-01,shovel,0.81,0.966,0,0.0
2023-01-31,DEMO-01,SH-01,shovel,4.96,0.793,1,3.8
2023-02-01,DEMO-01,SH-01,shovel,5.08,0.788,0,0.0
2023-02-02,DEMO-01,SH-01,shovel,1.39,0.942,0,0.0
2023-02-03,DEMO-01,SH-01,shovel,0.73,0.97,0,0.0
2023-02-04,DEMO-01,SH-01,shovel,1.11,0.954,0,0.0
2023-02-05,DEMO-01,SH-01,shovel,1.88,0.922,0,0.0
2023-02-06,DEMO-01,SH-01,shovel,2.26,0.906,0,0.0
2023-02-07,DEMO-01,SH-01,shovel,0.69,0.971,0,0.0
2023-02-08,DEMO-01,SH-01,shovel,2.11,0.912,0,0.0
2023-02-09,DEMO-01,SH-01,shovel,1.99,0.917,0,0.0
2023-02-10,DEMO-01,SH-01,shovel,4.45,0.815,0,0.0
2023-02-11,DEMO-01,SH-01,shovel,7.06,0.706,1,6.42
2023-02-12,DEMO-01,SH-01,shovel,4.7,0.804,0,0.0
2023-02-13,DEMO-01,SH-01,shovel,0.68,0.972,0,0.0
2023-02-14,DEMO-01,SH-01,shovel,0.3,0.988,0,0.0
2023-02-15,DEMO-01,SH-01,shovel,2.83,0.882,0,0.0
2023-02-16,DEMO-01,SH-01,shovel,1.82,0.924,0,0.0
2023-02-17,DEMO-01,SH-01,shovel,1.88,0.922,0,0.0
2023-02-18,DEMO-01,SH-01,shovel,1.14,0.953,0,0.0
2023-02-19,DEMO-01,SH-01,shovel,1.06,0.956,0,0.0
2023-02-20,DEMO-01,SH-01,shovel,1.96,0.918,0,0.0
2023-02-21,DEMO-01,SH-01,shovel,0.31,0.987,0,0.0
2023-02-22,DEMO-01,SH-01,shovel,1.31,0.945,0,0.0
2023-02-23,DEMO-01,SH-01,shovel,2.64,0.89,0,0.0
2023-02-24,DEMO-01,SH-01,shovel,2.1,0.912,0,0.0
2023-02-25,DEMO-01,SH-01,shovel,1.53,0.936,0,0.0
2023-02-26,DEMO-01,SH-01,shovel,0.65,0.973,0,0.0
2023-02-27,DEMO-01,SH-01,shovel,0.17,0.993,0,0.0
2023-02-28,DEMO-01,SH-01,shovel,0.58,0.976,0,0.0
2023-03-01,DEMO-01,SH-01,shovel,4.55,0.81,0,0.0
2023-03-02,DEMO-01,SH-01,shovel,0.68,0.972,0,0.0
2023-03-03,DEMO-01,SH-01,shovel,1.74,0.927,0,0.0
2023-03-04,DEMO-01,SH-01,shovel,5.61,0.766,0,0.0
2023-03-05,DEMO-01,SH-01,shovel,1.83,0.924,0,0.0
2023-03-06,DEMO-01,SH-01,shovel,2.56,0.893,0,0.0
2023-03-07,DEMO-01,SH-01,shovel,0.99,0.959,0,0.0
2023-03-08,DEMO-01,SH-01,shovel,2.84,0.882,0,0.0
2023-03-09,DEMO-01,SH-01,shovel,2.96,0.877,0,0.0
2023-03-10,DEMO-01,SH-01,shovel,0.32,0.987,0,0.0
2023-03-11,DEMO-01,SH-01,shovel,0.85,0.964,0,0.0
2023-03-12,DEMO-01,SH-01,shovel,1.22,0.949,0,0.0
2023-03-13,DEMO-01,SH-01,shovel,5.78,0.759,1,4.68
2023-03-14,DEMO-01,SH-01,shovel,2.47,0.897,0,0.0
2023-03-15,DEMO-01,SH-01,shovel,1.32,0.945,0,0.0
2023-03-16,DEMO-01,SH-01,shovel,1.29,0.946,0,0.0
2023-03-17,DEMO-01,SH-01,shovel,1.2,0.95,0,0.0
2023-03-18,DEMO-01,SH-01,shovel,1.15,0.952,0,0.0
2023-03-19,DEMO-01,SH-01,shovel,0.83,0.966,0,0.0
2023-03-20,DEMO-01,SH-01,shovel,0.81,0.966,0,0.0
2023-03-21,DEMO-01,SH-01,shovel,1.38,0.942,0,0.0
2023-03-22,DEMO-01,SH-01,shovel,2.22,0.907,0,0.0
2023-03-23,DEMO-01,SH-01,shovel,1.55,0.935,0,0.0
2023-03-24,DEMO-01,SH-01,shovel,0.46,0.981,0,0.0
2023-03-25,DEMO-01,SH-01,shovel,3.48,0.855,0,0.0
2023-03-26,DEMO-01,SH-01,shovel,0.38,0.984,0,0.0
2023-03-27,DEMO-01,SH-01,shovel,1.92,0.92,0,0.0
2023-03-28,DEMO-01,SH-01,shovel,6.85,0.714,1,6.74
2023-03-29,DEMO-01,SH-01,shovel,1.79,0.926,0,0.0
2023-03-30,DEMO-01,SH-01,shovel,0.93,0.961,0,0.0
2023-03-31,DEMO-01,SH-01,shovel,2.49,0.896,0,0.0
2023-04-01,DEMO-01,SH-01,shovel,2.98,0.876,0,0.0
2023-04-02,DEMO-01,SH-01,shovel,0.6,0.975,0,0.0
2023-04-03,DEMO-01,SH-01,shovel,0.32,0.987,0,0.0
2023-04-04,DEMO-01,SH-01,shovel,1.3,0.946,0,0.0
2023-04-05,DEMO-01,SH-01,shovel,0.65,0.973,0,0.0
2023-04-06,DEMO-01,SH-01,shovel,0.83,0.965,0,0.0
2023-04-07,DEMO-01,SH-01,shovel,2.61,0.891,0,0.0
2023-04-08,DEMO-01,SH-01,shovel,1.93,0.92,0,0.0
2023-04-09,DEMO-01,SH-01,shovel,1.13,0.953,0,0.0
2023-04-10,DEMO-01,SH-01,shovel,0.81,0.966,0,0.0
2023-04-11,DEMO-01,SH-01,shovel,0.91,0.962,0,0.0
2023-04-12,DEMO-01,SH-01,shovel,1.72,0.928,0,0.0
2023-04-13,DEMO-01,SH-01,shovel,2.13,0.911,0,0.0
2023-04-14,DEMO-01,SH-01,shovel,1.67,0.93,0,0.0
2023-04-15,DEMO-01,SH-01,shovel,3.09,0.871,0,0.0
2023-04-16,DEMO-01,SH-01,shovel,2.08,0.913,0,0.0
2023-04-17,DEMO-01,SH-01,shovel,2.66,0.889,0,0.0
2023-04-18,DEMO-01,SH-01,shovel,2.46,0.897,0,0.0
2023-04-19,DEMO-01,SH-01,shovel,0.84,0.965,0,0.0
2023-04-20,DEMO-01,SH-01,shovel,1.11,0.954,0,0.0
2023-04-21,DEMO-01,SH-01,shovel,0.52,0.978,0,0.0
2023-04-22,DEMO-01,SH-01,shovel,1.08,0.955,0,0.0
2023-04-23,DEMO-01,SH-01,shovel,2.14,0.911,0,0.0
2023-04-24,DEMO-01,SH-01,shovel,1.9,0.921,0,0.0
2023-04-25,DEMO-01,SH-01,shovel,11.04,0.54,1,9.82
2023-04-26,DEMO-01,SH-01,shovel,1.89,0.921,0,0.0
2023-04-27,DEMO-01,SH-01,shovel,3.24,0.865,0,0.0
2023-04-28,DEMO-01,SH-01,shovel,8.39,0.65,1,8.48
2023-04-29,DEMO-01,SH-01,shovel,0.73,0.969,0,0.0
2023-04-30,DEMO-01,SH-01,shovel,1.17,0.951,0,0.0
2023-05-01,DEMO-01,SH-01,shovel,0.58,0.976,0,0.0
2023-05-02,DEMO-01,SH-01,shovel,1.15,0.952,0,0.0
2023-05-03,DEMO-01,SH-01,shovel,0.44,0.982,0,0.0
2023-05-04,DEMO-01,SH-01,shovel,4.31,0.82,0,0.0
2023-05-05,DEMO-01,SH-01,shovel,1.84,0.923,0,0.0
2023-05-06,DEMO-01,SH-01,shovel,0.41,0.983,0,0.0
2023-05-07,DEMO-01,SH-01,shovel,2.64,0.89,0,0.0
2023-05-08,DEMO-01,SH-01,shovel,1.22,0.949,0,0.0
2023-05-09,DEMO-01,SH-01,shovel,1.66,0.931,0,0.0
2023-05-10,DEMO-01,SH-01,shovel,1.36,0.943,0,0.0
2023-05-11,DEMO-01,SH-01,shovel,1.19,0.951,0,0.0
2023-05-12,DEMO-01,SH-01,shovel,7.19,0.7,1,6.84
2023-05-13,DEMO-01,SH-01,shovel,0.85,0.965,0,0.0
2023-05-14,DEMO-01,SH-01,shovel,2.18,0.909,0,0.0
2023-05-15,DEMO-01,SH-01,shovel,3.97,0.835,0,0.0
2023-05-16,DEMO-01,SH-01,shovel,3.08,0.871,0,0.0
2023-05-17,DEMO-01,SH-01,shovel,1.42,0.941,0,0.0
2023-05-18,DEMO-01,SH-01,shovel,3.41,0.858,0,0.0
2023-05-19,DEMO-01,SH-01,shovel,3.14,0.869,0,0.0
2023-05-20,DEMO-01,SH-01,shovel,1.19,0.95,0,0.0
2023-05-21,DEMO-01,SH-01,shovel,0.43,0.982,0,0.0
2023-05-22,DEMO-01,SH-01,shovel,1.65,0.931,0,0.0
2023-05-23,DEMO-01,SH-01,shovel,2.01,0.916,0,0.0
2023-05-24,DEMO-01,SH-01,shovel,1.35,0.944,0,0.0
2023-05-25,DEMO-01,SH-01,shovel,2.68,0.888,0,0.0
2023-05-26,DEMO-01,SH-01,shovel,0.36,0.985,0,0.0
2023-05-27,DEMO-01,SH-01,shovel,2.73,0.886,0,0.0
2023-05-28,DEMO-01,SH-01,shovel,0.57,0.976,0,0.0
2023-05-29,DEMO-01,SH-01,shovel,0.99,0.959,0,0.0
2023-05-30,DEMO-01,SH-01,shovel,3.05,0.873,0,0.0
2023-05-31,DEMO-01,SH-01,shovel,6.63,0.724,0,0.0
2023-06-01,DEMO-01,SH-01,shovel,1.85,0.923,0,0.0
2023-06-02,DEMO-01,SH-01,shovel,2.81,0.883,0,0.0
2023-06-03,DEMO-01,SH-01,shovel,3.1,0.871,0,0.0
2023-06-04,DEMO-01,SH-01,shovel,4.4,0.817,0,0.0
2023-06-05,DEMO-01,SH-01,shovel,0.29,0.988,0,0.0
2023-06-06,DEMO-01,SH-01,shovel,2.35,0.902,0,0.0
2023-06-07,DEMO-01,SH-01,shovel,3.14,0.869,0,0.0
2023-06-08,DEMO-01,SH-01,shovel,1.05,0.956,0,0.0
2023-06-09,DEMO-01,SH-01,shovel,0.76,0.968,0,0.0
2023-06-10,DEMO-01,SH-01,shovel,5.07,0.789,0,0.0
2023-06-11,DEMO-01,SH-01,shovel,1.38,0.943,0,0.0
2023-06-12,DEMO-01,SH-01,shovel,2.07,0.914,0,0.0
2023-06-13,DEMO-01,SH-01,shovel,1.72,0.928,0,0.0
2023-06-14,DEMO-01,SH-01,shovel,0.73,0.97,0,0.0
2023-06-15,DEMO-01,SH-01,shovel,1.92,0.92,0,0.0
2023-06-16,DEMO-01,SH-01,shovel,0.59,0.976,0,0.0
2023-06-17,DEMO-01,SH-01,shovel,7.81,0.675,1,6.84
2023-06-18,DEMO-01,SH-01,shovel,8.87,0.631,0,0.0
2023-06-19,DEMO-01,SH-01,shovel,2.62,0.891,0,0.0
2023-06-20,DEMO-01,SH-01,shovel,0.16,0.993,0,0.0
2023-06-21,DEMO-01,SH-01,shovel,2.16,0.91,0,0.0
