date,mine_id,planned_t,actual_t,avg_mn_pct
2023-01-01,DEMO-01,2456.4,2544.2,31.63
2023-01-02,DEMO-01,2360.0,2285.5,30.42
2023-01-03,DEMO-01,2474.4,2325.1,31.4
2023-01-04,DEMO-01,2380.8,2355.5,30.73
2023-01-05,DEMO-01,2330.3,2376.0,31.28
2023-01-06,DEMO-01,2463.4,2309.5,31.66
2023-01-07,DEMO-01,2404.9,2247.9,32.06
2023-01-08,DEMO-01,2476.7,2202.5,32.69
2023-01-09,DEMO-01,2445.4,2175.7,32.03
2023-01-10,DEMO-01,2328.8,2319.8,30.6
2023-01-11,DEMO-01,2410.2,2278.6,32.08
2023-01-12,DEMO-01,2350.7,2019.4,31.26
2023-01-13,DEMO-01,2469.5,2373.7,31.35
2023-01-14,DEMO-01,2404.7,2538.9,31.49
2023-01-15,DEMO-01,2363.8,2256.6,31.61
2023-01-16,DEMO-01,2288.3,2344.9,32.36
2023-01-17,DEMO-01,2464.1,2313.6,31.92
2023-01-18,DEMO-01,2381.2,2429.8,30.49
2023-01-19,DEMO-01,2385.6,2245.8,30.22
2023-01-20,DEMO-01,2426.6,2286.8,32.05
2023-01-21,DEMO-01,2351.3,2199.7,31.96
2023-01-22,DEMO-01,2316.5,2172.9,32.57
2023-01-23,DEMO-01,2410.6,2354.3,31.42
2023-01-24,DEMO-01,2348.8,2271.2,31.74
2023-01-25,DEMO-01,2395.8,2400.0,31.91
2023-01-26,DEMO-01,2352.4,2194.5,30.18
2023-01-27,DEMO-01,2325.2,2240.3,30.13
2023-01-28,DEMO-01,2309.7,2121.2,32.13
2023-01-29,DEMO-01,2405.5,2507.5,31.81
2023-01-30,DEMO-01,2460.3,2373.9,32.64
2023-01-31,DEMO-01,2453.8,2307.7,33.07
2023-02-01,DEMO-01,2401.3,2280.4,31.24
2023-02-02,DEMO-01,2478.3,2335.2,31.2
2023-02-03,DEMO-01,2370.5,2218.1,30.35
2023-02-04,DEMO-01,2445.0,2527.6,31.94
2023-02-05,DEMO-01,2372.9,2122.7,29.75
2023-02-06,DEMO-01,2360.0,2249.9,30.68
2023-02-07,DEMO-01,2444.5,2407.2,31.76
2023-02-08,DEMO-01,2423.7,2055.6,30.94
2023-02-09,DEMO-01,2434.6,2289.6,31.46
2023-02-10,DEMO-01,2318.1,2167.3,31.32
2023-02-11,DEMO-01,2456.5,2259.9,30.55
2023-02-12,DEMO-01,2437.2,2266.0,29.74
2023-02-13,DEMO-01,2377.8,2100.1,32.09
2023-02-14,DEMO-01,2432.0,2415.8,31.35
2023-02-15,DEMO-01,2460.2,2245.0,31.79
2023-02-16,DEMO-01,2359.4,2228.8,31.45
2023-02-17,DEMO-01,2359.8,2264.4,31.43
2023-02-18,DEMO-01,2384.0,2345.9,31.64
2023-02-19,DEMO-01,2277.7,2237.5,31.34
2023-02-20,DEMO-01,2418.0,2365.0,31.21
2023-02-21,DEMO-01,2449.9,2151.8,30.64
2023-02-22,DEMO-01,2431.1,2330.5,33.61
2023-02-23,DEMO-01,2426.1,2363.0,32.35
2023-02-24,DEMO-01,2456.0,2350.1,32.77
2023-02-25,DEMO-01,2394.2,2272.1,32.58
2023-02-26,DEMO-01,2313.2,2281.5,31.26
2023-02-27,DEMO-01,2406.8,2269.6,31.34
2023-02-28,DEMO-01,2471.2,2527.8,31.5
2023-03-01,DEMO-01,2419.4,2356.3,31.19
2023-03-02,DEMO-01,2379.1,2285.7,32.24
2023-03-03,DEMO-01,2442.6,2256.5,30.81
2023-03-04,DEMO-01,2420.7,2421.9,30.59
2023-03-05,DEMO-01,2387.5,2288.1,30.39
2023-03-06,DEMO-01,2405.9,2311.4,31.22
2023-03-07,DEMO-01,2381.8,2257.6,31.09
2023-03-08,DEMO-01,2433.0,2356.3,30.97
2023-03-09,DEMO-01,2349.6,2333.6,31.57
2023-03-10,DEMO-01,2417.1,2332.5,30.5
2023-03-11,DEMO-01,2446.7,2223.1,32.12
2023-03-12,DEMO-01,2411.9,2399.9,30.56
2023-03-13,DEMO-01,2412.4,2229.7,30.5
2023-03-14,DEMO-01,2402.4,2262.9,30.94
2023-03-15,DEMO-01,2427.8,2317.3,31.37
2023-03-16,DEMO-01,2378.5,2257.4,32.22
2023-03-17,DEMO-01,2390.9,2374.7,31.43
2023-03-18,DEMO-01,2348.4,2114.1,30.12
2023-03-19,DEMO-01,2382.9,2290.9,31.9
2023-03-20,DEMO-01,2287.3,2220.3,31.88
2023-03-21,DEMO-01,2398.9,2275.4,30.99
2023-03-22,DEMO-01,2431.0,2402.7,31.63
2023-03-23,DEMO-01,2393.2,2311.5,32.7
2023-03-24,DEMO-01,2447.3,2255.0,30.75
2023-03-25,DEMO-01,2469.8,2335.4,32.3
2023-03-26,DEMO-01,2395.2,2343.8,32.55
2023-03-27,DEMO-01,2340.9,2167.9,31.63
2023-03-28,DEMO-01,2455.4,2411.6,30.43
2023-03-29,DEMO-01,2443.9,2367.3,32.58
2023-03-30,DEMO-01,2419.3,2321.6,32.25
2023-03-31,DEMO-01,2365.3,2149.9,31.93
2023-04-01,DEMO-01,2414.5,2378.1,31.42
2023-04-02,DEMO-01,2376.1,2366.0,32.45
2023-04-03,DEMO-01,2352.4,2178.6,30.74
2023-04-04,DEMO-01,2411.9,2434.6,32.18
2023-04-05,DEMO-01,2338.0,2251.2,31.18
2023-04-06,DEMO-01,2432.5,2326.1,30.02
2023-04-07,DEMO-01,2405.7,2106.0,30.59
2023-04-08,DEMO-01,2383.4,2339.4,31.78
2023-04-09,DEMO-01,2386.5,2453.6,31.62
2023-04-10,DEMO-01,2328.9,2228.5,31.81
2023-04-11,DEMO-01,2331.4,2217.7,31.11
2023-04-12,DEMO-01,2481.5,2430.2,31.6
2023-04-13,DEMO-01,2376.9,2191.9,31.95
2023-04-14,DEMO-01,2305.9,2245.2,33.42
2023-04-15,DEMO-01,2433.6,2172.7,31.07
2023-04-16,DEMO-01,2325.6,1980.9,32.27
2023-04-17,DEMO-01,2412.5,2436.1,31.94
2023-04-18,DEMO-01,2460.6,2163.4,31.49
2023-04-19,DEMO-01,2366.2,2330.0,30.27
2023-04-20,DEMO-01,2440.4,2410.4,32.55
2023-04-21,DEMO-01,2415.6,2349.5,31.57
2023-04-22,DEMO-01,2460.2,2443.6,30.85
2023-04-23,DEMO-01,2404.1,2149.7,30.59
2023-04-24,DEMO-01,2341.3,2209.5,31.55
2023-04-25,DEMO-01,2254.0,2112.5,30.52
2023-04-26,DEMO-01,2323.1,2243.6,30.83
2023-04-27,DEMO-01,2337.0,2189.2,30.79
2023-04-28,DEMO-01,2417.2,2236.2,31.32
2023-04-29,DEMO-01,2427.2,2345.9,31.78
2023-04-30,DEMO-01,2297.8,2125.4,30.99
2023-05-01,DEMO-01,2423.0,2339.6,31.07
2023-05-02,DEMO-01,2310.8,2130.6,31.32
2023-05-03,DEMO-01,2304.9,2148.4,30.58
2023-05-04,DEMO-01,2271.9,2305.8,30.7
2023-05-05,DEMO-01,2363.8,2138.5,30.79
2023-05-06,DEMO-01,2310.1,2225.2,31.41
2023-05-07,DEMO-01,2411.5,2292.1,32.52
2023-05-08,DEMO-01,2286.3,2098.4,30.08
2023-05-09,DEMO-01,2373.2,2306.1,31.32
2023-05-10,DEMO-01,2262.9,2001.8,30.9
