date,mine_id,rainfall_mm,soil_moisture,NDVI,LST
2023-01-01,DEMO-01,0.0,0.22,0.32,25.53
2023-01-02,DEMO-01,0.0,0.18,0.317,25.99
2023-01-03,DEMO-01,0.0,0.148,0.313,26.59
2023-01-04,DEMO-01,0.4,0.126,0.307,25.18
2023-01-05,DEMO-01,1.59,0.122,0.302,25.93
2023-01-06,DEMO-01,0.0,0.1,0.296,25.35
2023-01-07,DEMO-01,0.0,0.082,0.29,25.4
2023-01-08,DEMO-01,0.4,0.072,0.283,23.33
2023-01-09,DEMO-01,0.0,0.059,0.276,24.16
2023-01-10,DEMO-01,4.1,0.093,0.273,23.61
2023-01-11,DEMO-01,4.06,0.121,0.271,22.66
2023-01-12,DEMO-01,9.45,0.189,0.273,21.65
2023-01-13,DEMO-01,0.0,0.155,0.274,23.95
2023-01-14,DEMO-01,0.0,0.127,0.272,24.16
2023-01-15,DEMO-01,0.0,0.104,0.269,24.66
2023-01-16,DEMO-01,0.4,0.09,0.266,25.26
2023-01-17,DEMO-01,0.02,0.074,0.262,24.77
2023-01-18,DEMO-01,0.0,0.061,0.258,24.14
2023-01-19,DEMO-01,0.4,0.055,0.253,23.19
2023-01-20,DEMO-01,0.0,0.05,0.249,25.73
2023-01-21,DEMO-01,0.0,0.05,0.245,24.36
2023-01-22,DEMO-01,0.0,0.05,0.242,23.91
2023-01-23,DEMO-01,0.0,0.05,0.239,24.26
2023-01-24,DEMO-01,0.0,0.05,0.236,23.51
2023-01-25,DEMO-01,0.88,0.052,0.234,23.75
2023-01-26,DEMO-01,0.0,0.05,0.231,23.78
2023-01-27,DEMO-01,0.4,0.05,0.229,24.16
2023-01-28,DEMO-01,0.83,0.051,0.228,25.47
2023-01-29,DEMO-01,0.4,0.05,0.226,25.18
2023-01-30,DEMO-01,0.0,0.05,0.224,26.83
2023-01-31,DEMO-01,0.0,0.05,0.223,26.39
2023-02-01,DEMO-01,0.4,0.05,0.222,27.44
2023-02-02,DEMO-01,0.0,0.05,0.221,25.54
2023-02-03,DEMO-01,0.0,0.05,0.22,25.55
2023-02-04,DEMO-01,0.0,0.05,0.219,24.15
2023-02-05,DEMO-01,0.0,0.05,0.218,26.03
2023-02-06,DEMO-01,0.0,0.05,0.217,24.0
2023-02-07,DEMO-01,0.4,0.05,0.217,22.88
2023-02-08,DEMO-01,12.55,0.151,0.222,26.37
2023-02-09,DEMO-01,0.0,0.124,0.226,23.32
2023-02-10,DEMO-01,0.0,0.102,0.228,25.73
2023-02-11,DEMO-01,0.0,0.084,0.228,23.94
2023-02-12,DEMO-01,0.0,0.068,0.227,26.81
2023-02-13,DEMO-01,0.0,0.056,0.226,27.06
2023-02-14,DEMO-01,0.4,0.051,0.225,26.07
2023-02-15,DEMO-01,2.23,0.067,0.224,27.02
2023-02-16,DEMO-01,0.0,0.055,0.223,25.5
2023-02-17,DEMO-01,0.0,0.05,0.222,28.68
2023-02-18,DEMO-01,0.0,0.05,0.221,26.67
2023-02-19,DEMO-01,0.0,0.05,0.22,24.44
2023-02-20,DEMO-01,0.0,0.05,0.219,25.87
2023-02-21,DEMO-01,0.0,0.05,0.218,25.64
2023-02-22,DEMO-01,0.0,0.05,0.218,25.58
2023-02-23,DEMO-01,0.4,0.05,0.217,23.67
2023-02-24,DEMO-01,0.0,0.05,0.216,26.64
2023-02-25,DEMO-01,3.1,0.076,0.217,24.05
2023-02-26,DEMO-01,0.87,0.073,0.218,22.68
2023-02-27,DEMO-01,0.0,0.059,0.218,25.88
