block_id,mine_id,x,y,z,volume_m3,density,estimated_mn_pct,kriging_variance,tonnage_t,is_ore
BLK-0001,DEMO-01,25.0,20.0,103.0,32068.4,2.924,22.104,222.9175,93768.0,1
BLK-0002,DEMO-01,25.0,20.0,117.89,32068.4,2.928,22.31,222.9484,93896.3,1
BLK-0003,DEMO-01,25.0,20.0,132.78,32068.4,2.906,21.896,223.7202,93190.8,1
BLK-0004,DEMO-01,25.0,20.0,147.67,32068.4,2.916,21.788,223.3964,93511.5,1
BLK-0005,DEMO-01,25.0,20.0,162.56,32068.4,2.919,17.247,209.0817,93607.7,0
BLK-0006,DEMO-01,25.0,20.0,177.44,32068.4,2.937,11.159,155.4787,94184.9,0
BLK-0007,DEMO-01,25.0,20.0,192.33,32068.4,2.898,7.356,84.2492,92934.2,0
BLK-0008,DEMO-01,25.0,20.0,207.22,32068.4,2.904,8.715,113.4379,93126.6,0
BLK-0009,DEMO-01,25.0,20.0,222.11,32068.4,2.953,10.056,172.0665,94698.0,0
BLK-0010,DEMO-01,25.0,20.0,237.0,32068.4,2.913,12.589,213.412,93415.2,0
BLK-0011,DEMO-01,25.0,63.08,103.0,32068.4,2.891,22.951,222.5802,92709.7,1
BLK-0012,DEMO-01,25.0,63.08,117.89,32068.4,2.909,22.952,221.9861,93287.0,1
BLK-0013,DEMO-01,25.0,63.08,132.78,32068.4,2.88,22.894,222.3106,92357.0,1
BLK-0014,DEMO-01,25.0,63.08,147.67,32068.4,2.919,21.629,222.89,93607.7,1
BLK-0015,DEMO-01,25.0,63.08,162.56,32068.4,2.928,16.761,201.7069,93896.3,0
BLK-0016,DEMO-01,25.0,63.08,177.44,32068.4,2.912,10.124,132.0534,93383.2,0
BLK-0017,DEMO-01,25.0,63.08,192.33,32068.4,2.916,6.137,82.8969,93511.5,0
BLK-0018,DEMO-01,25.0,63.08,207.22,32068.4,2.929,7.131,64.9986,93928.3,0
BLK-0019,DEMO-01,25.0,63.08,222.11,32068.4,2.893,10.964,146.5385,92773.9,0
BLK-0020,DEMO-01,25.0,63.08,237.0,32068.4,2.899,11.609,204.392,92966.3,0
BLK-0021,DEMO-01,25.0,106.15,103.0,32068.4,2.913,21.743,220.7816,93415.2,1
BLK-0022,DEMO-01,25.0,106.15,117.89,32068.4,2.906,22.952,221.9861,93190.8,1
BLK-0023,DEMO-01,25.0,106.15,132.78,32068.4,2.912,22.884,221.3946,93383.2,1
BLK-0024,DEMO-01,25.0,106.15,147.67,32068.4,2.901,22.712,221.5241,93030.4,1
BLK-0025,DEMO-01,25.0,106.15,162.56,32068.4,2.941,18.175,199.1527,94313.2,0
BLK-0026,DEMO-01,25.0,106.15,177.44,32068.4,2.952,11.79,135.5396,94665.9,0
BLK-0027,DEMO-01,25.0,106.15,192.33,32068.4,2.93,8.544,105.322,93960.4,0
BLK-0028,DEMO-01,25.0,106.15,207.22,32068.4,2.919,8.979,81.3138,93607.7,0
BLK-0029,DEMO-01,25.0,106.15,222.11,32068.4,2.919,11.654,142.6518,93607.7,0
BLK-0030,DEMO-01,25.0,106.15,237.0,32068.4,2.897,14.324,200.7064,92902.2,0
BLK-0031,DEMO-01,25.0,149.23,103.0,32068.4,2.923,21.743,220.7816,93735.9,1
BLK-0032,DEMO-01,25.0,149.23,117.89,32068.4,2.912,23.619,221.8218,93383.2,1
BLK-0033,DEMO-01,25.0,149.23,132.78,32068.4,2.914,23.613,221.8196,93447.3,1
BLK-0034,DEMO-01,25.0,149.23,147.67,32068.4,2.943,23.675,220.0581,94377.3,1
BLK-0035,DEMO-01,25.0,149.23,162.56,32068.4,3.014,18.741,197.1703,96654.2,0
BLK-0036,DEMO-01,25.0,149.23,177.44,32068.4,3.024,16.086,151.6174,96974.8,0
BLK-0037,DEMO-01,25.0,149.23,192.33,32068.4,2.943,14.575,138.7953,94377.3,0
BLK-0038,DEMO-01,25.0,149.23,207.22,32068.4,2.926,14.613,127.844,93832.1,0
BLK-0039,DEMO-01,25.0,149.23,222.11,32068.4,2.903,15.359,153.8938,93094.6,0
BLK-0040,DEMO-01,25.0,149.23,237.0,32068.4,2.887,16.454,202.2954,92581.5,0
BLK-0041,DEMO-01,25.0,192.31,103.0,32068.4,2.93,21.622,220.0308,93960.4,1
BLK-0042,DEMO-01,25.0,192.31,117.89,32068.4,2.918,22.893,220.09,93575.6,1
BLK-0043,DEMO-01,25.0,192.31,132.78,32068.4,2.906,24.692,221.7117,93190.8,1
BLK-0044,DEMO-01,25.0,192.31,147.67,32068.4,2.945,25.002,217.6458,94441.4,1
BLK-0045,DEMO-01,25.0,192.31,162.56,32068.4,3.095,23.46,187.5416,99251.7,1
BLK-0046,DEMO-01,25.0,192.31,177.44,32068.4,3.196,21.677,146.7546,102490.6,1
BLK-0047,DEMO-01,25.0,192.31,192.33,32068.4,2.968,22.402,151.8189,95179.0,1
BLK-0048,DEMO-01,25.0,192.31,207.22,32068.4,2.902,21.326,139.95,93062.5,1
BLK-0049,DEMO-01,25.0,192.31,222.11,32068.4,2.915,18.728,159.6407,93479.4,0
BLK-0050,DEMO-01,25.0,192.31,237.0,32068.4,2.931,17.683,204.7311,93992.5,0
BLK-0051,DEMO-01,25.0,235.38,103.0,32068.4,2.919,22.087,220.0564,93607.7,1
BLK-0052,DEMO-01,25.0,235.38,117.89,32068.4,2.933,22.087,220.0564,94056.6,1
BLK-0053,DEMO-01,25.0,235.38,132.78,32068.4,2.931,23.839,220.7403,93992.5,1
BLK-0054,DEMO-01,25.0,235.38,147.67,32068.4,2.918,22.904,216.6713,93575.6,1
BLK-0055,DEMO-01,25.0,235.38,162.56,32068.4,2.963,25.2,179.444,95018.7,1
BLK-0056,DEMO-01,25.0,235.38,177.44,32068.4,3.422,27.848,127.6039,109738.1,1
BLK-0057,DEMO-01,25.0,235.38,192.33,32068.4,3.288,28.988,139.3986,105440.9,1
BLK-0058,DEMO-01,25.0,235.38,207.22,32068.4,2.922,27.357,132.8897,93703.9,1
BLK-0059,DEMO-01,25.0,235.38,222.11,32068.4,2.912,21.677,160.633,93383.2,1
BLK-0060,DEMO-01,25.0,235.38,237.0,32068.4,2.921,19.037,207.3776,93671.8,0
BLK-0061,DEMO-01,25.0,278.46,103.0,32068.4,2.936,20.933,218.9235,94152.8,1
BLK-0062,DEMO-01,25.0,278.46,117.89,32068.4,2.909,22.007,219.1426,93287.0,1
BLK-0063,DEMO-01,25.0,278.46,132.78,32068.4,2.908,21.531,221.8882,93254.9,1
BLK-0064,DEMO-01,25.0,278.46,147.67,32068.4,2.916,22.625,217.8244,93511.5,1
BLK-0065,DEMO-01,25.0,278.46,162.56,32068.4,2.932,25.511,182.7739,94024.5,1
BLK-0066,DEMO-01,25.0,278.46,177.44,32068.4,3.211,29.643,122.3262,102971.6,1
BLK-0067,DEMO-01,25.0,278.46,192.33,32068.4,3.758,32.855,108.0844,120513.0,1
BLK-0068,DEMO-01,25.0,278.46,207.22,32068.4,3.146,30.199,122.8849,100887.2,1
BLK-0069,DEMO-01,25.0,278.46,222.11,32068.4,2.925,22.758,168.5107,93800.1,1
BLK-0070,DEMO-01,25.0,278.46,237.0,32068.4,2.922,19.04,210.9782,93703.9,0
BLK-0071,DEMO-01,25.0,321.54,103.0,32068.4,2.911,19.032,220.1533,93351.1,0
BLK-0072,DEMO-01,25.0,321.54,117.89,32068.4,2.927,19.185,220.5791,93864.2,0
BLK-0073,DEMO-01,25.0,321.54,132.78,32068.4,2.918,20.867,221.1337,93575.6,1
BLK-0074,DEMO-01,25.0,321.54,147.67,32068.4,2.927,21.948,219.5113,93864.2,1
BLK-0075,DEMO-01,25.0,321.54,162.56,32068.4,2.925,24.745,189.7964,93800.1,1
BLK-0076,DEMO-01,25.0,321.54,177.44,32068.4,3.151,29.494,121.9713,101047.5,1
BLK-0077,DEMO-01,25.0,321.54,192.33,32068.4,3.782,34.756,61.0108,121282.7,1
BLK-0078,DEMO-01,25.0,321.54,207.22,32068.4,3.254,30.861,124.8694,104350.6,1
BLK-0079,DEMO-01,25.0,321.54,222.11,32068.4,2.947,24.258,182.9253,94505.6,1
BLK-0080,DEMO-01,25.0,321.54,237.0,32068.4,2.925,18.388,215.7169,93800.1,0
BLK-0081,DEMO-01,25.0,364.62,103.0,32068.4,2.903,19.032,220.1533,93094.6,0
BLK-0082,DEMO-01,25.0,364.62,117.89,32068.4,2.919,19.931,221.24,93607.7,0
BLK-0083,DEMO-01,25.0,364.62,132.78,32068.4,2.885,20.867,221.1337,92517.3,1
BLK-0084,DEMO-01,25.0,364.62,147.67,32068.4,2.909,20.784,219.0578,93287.0,1
BLK-0085,DEMO-01,25.0,364.62,162.56,32068.4,2.962,23.198,188.0824,94986.6,1
BLK-0086,DEMO-01,25.0,364.62,177.44,32068.4,3.358,27.66,117.7748,107685.7,1
BLK-0087,DEMO-01,25.0,364.62,192.33,32068.4,3.543,32.135,84.1111,113618.3,1
BLK-0088,DEMO-01,25.0,364.62,207.22,32068.4,2.968,30.306,140.2869,95179.0,1
BLK-0089,DEMO-01,25.0,364.62,222.11,32068.4,2.912,24.033,194.5991,93383.2,1
BLK-0090,DEMO-01,25.0,364.62,237.0,32068.4,2.921,18.898,219.8326,93671.8,0
BLK-0091,DEMO-01,25.0,407.69,103.0,32068.4,2.922,19.578,222.0942,93703.9,0
BLK-0092,DEMO-01,25.0,407.69,117.89,32068.4,2.929,19.931,221.24,93928.3,0
BLK-0093,DEMO-01,25.0,407.69,132.78,32068.4,2.913,20.793,222.3745,93415.2,1
