feature,mean_absolute_shap,impact_direction,importance_rank,driver_type
planned_t,97.16240397779166,DOWN,1,ACTIONABLE
rainfall_mm,41.93024162394369,DOWN,2,CONTEXTUAL
fleet_availability,24.237012201720084,DOWN,3,ACTIONABLE
development_m,17.547647757237737,DOWN,4,ACTIONABLE
delay_h,16.979919824617145,DOWN,5,ACTIONABLE
soil_moisture,15.665438653227763,DOWN,6,CONTEXTUAL
fleet_downtime_h,10.317970675922206,DOWN,7,ACTIONABLE
actual_t_rolling_mean_14,8.189230189684086,DOWN,8,ACTIONABLE
LST,7.282246000310021,DOWN,9,CONTEXTUAL
actual_t_lag_2,6.43072218203241,DOWN,10,ACTIONABLE
actual_t_rolling_mean_7,4.704255108043592,DOWN,11,ACTIONABLE
day_of_year,4.128712542932987,DOWN,12,CONTEXTUAL
available_workers,2.644644404933799,DOWN,13,ACTIONABLE
actual_t_lag_3,2.5555306295417357,DOWN,14,ACTIONABLE
actual_t_rolling_std_7,2.3493302566034133,DOWN,15,ACTIONABLE
actual_t_lag_30,2.226016682987227,DOWN,16,ACTIONABLE
fleet_repair_h,1.950246737941226,DOWN,17,ACTIONABLE
actual_t_rolling_std_14,1.8383614152504637,DOWN,18,ACTIONABLE
actual_t_lag_1,1.7570633434076008,UP,19,ACTIONABLE
actual_t_lag_14,1.7150750672459316,UP,20,ACTIONABLE
actual_t_lag_7,1.6812986977655033,UP,21,ACTIONABLE
NDVI,1.6686554175313366,DOWN,22,CONTEXTUAL
blast_delay_indicator,1.6283310899778103,DOWN,23,ACTIONABLE
day_of_month,1.542144940679051,DOWN,24,CONTEXTUAL
fleet_availability_rolling_mean_30,1.4907429077332346,UP,25,ACTIONABLE
rainfall_rolling_sum_14,1.2319661067372005,UP,26,CONTEXTUAL
rainfall_rolling_sum_7,1.2173283113722706,UP,27,CONTEXTUAL
day_of_week,1.1239853453749695,DOWN,28,CONTEXTUAL
fleet_availability_rolling_mean_14,0.9506189893353493,DOWN,29,ACTIONABLE
actual_t_rolling_std_30,0.8713458404788091,DOWN,30,ACTIONABLE
actual_t_rolling_mean_30,0.8454756067842544,DOWN,31,ACTIONABLE
blast_count,0.8118877743139384,DOWN,32,ACTIONABLE
fleet_availability_rolling_mean_7,0.7942302981061494,DOWN,33,ACTIONABLE
rainfall_rolling_sum_30,0.6337032473620965,UP,34,CONTEXTUAL
month,0.2352167006016876,DOWN,35,CONTEXTUAL
fleet_failures,0.17867998092297324,UP,36,ACTIONABLE
quarter,0.0,UP,37,CONTEXTUAL
shifts,0.0,UP,38,ACTIONABLE
